biome * ffffff ffffff ffffff
biome 0 ffffff 8eb971 71a74d
biome 1 ffffff 91bd59 77ab2f
biome 2 ffffff bfb755 aea42a
biome 3 ffffff 8ab689 6da36b
biome 4 ffffff 79c05a 59ae30
biome 5 ffffff 86b783 68a464
biome 6 e0ffae 6a7039 6a7039
biome 7 ffffff 8eb971 71a74d
biome 8 ffffff bfb755 aea42a
biome 9 ffffff 8eb971 71a74d
biome 10 ffffff 80b497 60a17b
biome 11 ffffff 80b497 60a17b
biome 12 ffffff 80b497 60a17b
biome 13 ffffff 80b497 60a17b
biome 14 ffffff 55c93f 2bbb0f
biome 15 ffffff 55c93f 2bbb0f
biome 16 ffffff 91bd59 77ab2f
biome 17 ffffff bfb755 aea42a
biome 18 ffffff 79c05a 59ae30
biome 19 ffffff 86b783 68a464
biome 20 ffffff 8ab689 6da36b
biome 21 ffffff 59c93c 30bb0b
biome 22 ffffff 59c93c 30bb0b
biome 23 ffffff 64c73f 3eb80f
biome 24 ffffff 8eb971 71a74d
biome 25 ffffff 8ab689 6da36b
biome 26 ffffff 83b593 64a278
biome 27 ffffff 88bb66 6ba940
biome 28 ffffff 88bb66 6ba940
biome 29 ffffff 507a32 59ae30
biome 30 ffffff 80b497 60a17b
biome 31 ffffff 80b497 60a17b
biome 32 ffffff 86b87f 68a55f
biome 33 ffffff 86b87f 68a55f
biome 34 ffffff 8ab689 6da36b
biome 35 ffffff bfb755 aea42a
biome 36 ffffff bfb755 aea42a
biome 37 ffffff 90814d 9e814d
biome 38 ffffff 90814d 9e814d
biome 39 ffffff 90814d 9e814d
biome 47 ffffff b2b762 9ea43b
biome 50 ffffff bfb755 aea42a
biome 51 ffffff bfb755 aea42a
biome 52 ffffff bfb755 aea42a
biome 53 ffffff bfb755 aea42a
biome 54 ffffff bfb755 aea42a
biome 55 ffffff bfb755 aea42a
biome 56 ffffff bfb755 aea42a
biome 57 ffffff bfb755 aea42a
biome 58 ffffff bfb755 aea42a
biome 59 ffffff bfb755 aea42a
biome 69 ffffff a0b676 87a353
biome 100 0a2a72 dbe6e5 dbe6e5
biome 102 ffffff a0b676 87a353
biome 103 ffffff a0b676 87a353
biome 104 ffffff a0b676 87a353
biome 105 ffffff a0b676 87a353
biome 124 ffffff 80b497 60a17b
biome 126 ffffff 8eb971 71a74d
biome 127 ffffff bfb755 aea42a
biome 129 ffffff 91bd59 77ab2f
biome 130 ffffff bfb755 aea42a
biome 131 ffffff 8ab689 6da36b
biome 132 ffffff 79c05a 59ae30
biome 133 ffffff 86b783 68a464
biome 134 e0ffae 6a7039 6a7039
biome 140 ffffff 80b497 60a17b
biome 149 ffffff 59c93c 30bb0b
biome 151 ffffff 64c73f 3eb80f
biome 155 ffffff 88bb66 6ba940
biome 156 ffffff 88bb66 6ba940
biome 157 ffffff 507a32 59ae30
biome 158 ffffff 80b497 60a17b
biome 160 ffffff 86b783 68a464
biome 161 ffffff 86b783 68a464
biome 162 ffffff 8ab689 6da36b
biome 163 ffffff bfb755 aea42a
biome 164 ffffff bfb755 aea42a
biome 165 ffffff 90814d 9e814d
biome 166 ffffff 90814d 9e814d
biome 167 ffffff 90814d 9e814d
biome 170 ffffff 79c05a 59ae30
biome 180 ffffff a0b676 87a353
biome 181 ffffff a0b676 87a353
biome 182 ffffff a0b676 87a353
biome 183 ffffff a0b676 87a353
biome 184 ffffff a0b676 87a353
biome 185 ffffff a0b676 87a353
biome 186 ffffff a0b676 87a353
biome 187 ffffff a0b676 87a353
biome 188 ffffff a0b676 87a353
biome 189 ffffff a0b676 87a353
biome 190 ffffff a0b676 87a353
biome 191 ffffff a0b676 87a353
biome 192 ffffff a0b676 87a353
biome 193 ffffff a0b676 87a353
biome 194 ffffff a0b676 87a353
biome 195 ffffff a0b676 87a353
biome 196 ffffff a0b676 87a353
biome 197 ffffff a0b676 87a353
biome 198 ffffff a0b676 87a353
biome 199 ffffff a0b676 87a353
biome 200 ffffff a0b676 87a353
biome 202 ffffff a0b676 87a353
biome 203 ffffff a0b676 87a353
biome 204 ffffff 6ac44e 45b421
biome 205 ffffff 6ac44e 45b421
biome 206 ffffff a0b676 87a353
biome 207 ffffff 6ac44e 45b421
